期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
345,33,BV1qVsRzbEQ2,那些被制裁最最严重的国家，都怎么样了?,小Lin说,2746216,115358,15619,3200,29016,3819
345,34,BV1FbsdzME6E,明日方舟2025感谢庆典印象曲 - When We Were the Most Beautiful by Higuchi Ai,明日方舟,1330431,159996,1817,10426,77011,22041
345,35,BV1ZesyzNEjm,充分利用公司资源,-显眼宝-,4119971,268757,859,2708,15964,3218
345,36,BV1Ams1zLEMH,凉屋游戏最新单机ARPG《楼兰：诅咒之沙》|首支全实机预告,楼兰诅咒之沙,2448200,87389,7142,8934,16126,40584
345,37,BV1ghyUBaEpb,在山西花4块钱，吃到了最奢侈的“中国汉堡”。,盗月社食遇记,3458331,116973,13178,9398,26406,29106
345,38,BV1CUytBbEJm,全球唯一可口可乐自助！128元不限时随便造,转生成为毛毛,4075671,86997,7628,8151,23793,37604
345,39,BV1s2yrBMEQm,干蒸烧烤老板：我就靠这秘方赚钱了！！,上班族的便当,1695165,75436,395,595,54891,2769
345,40,BV1CrsnzGEzP,石头也有心,跃然脂上,3658359,234768,1697,4369,39584,4018
345,41,BV1ZqsyzAEPq,⚡善 兵 是 你 的 谎 言⚡,快乐阿托,1356630,61558,370,850,8904,1622
345,42,BV1iDsXzxEmK,躲在“树后”能挡子弹？冒死测试！结局惊人！,汤黑头子,2234884,44336,4011,1854,36663,567
345,43,BV1xVsHznEkn,【电影美学07】你的发型，早已经剧透了你的人生,切片计划,1767229,73611,1025,674,34749,1939
345,44,BV1H7s6z8EGo,要被电多少次才能跳出如此绝望的舞步,-三三三元,2135877,102041,473,1693,8882,6994
344,1,BV1X44tzQEXK,c哩c哩,阿岱菌,7847529,1156421,177515,102767,303504,40493
344,2,BV1xQWizoE6k,当我把家里的门改成了一块屏幕...,小狮日记,20636412,398689,9736,4132,270019,21960
344,3,BV1cmWtztEXS,把远古沧龙做成六道菜（上）,黄浦江三文鱼,7529823,314895,6023,5005,82729,45164
344,4,BV1cFW2zVEUV,【十三元凶：生死弈】PV首曝：元凶视我为棋，我以此身为刃！,网易逆水寒,9103727,243272,6271,4892,109475,47506
344,5,BV1oxWCzoEyP,猫咪小镇的地下宫殿,爱鼓捣的邢志磊,20015611,468441,30021,4161,172285,16759
344,6,BV1ZgsazAEdX,说的什么玩意？（2）,小潮院长,7478352,474404,41241,9744,226881,14643
344,7,BV112WCzVEYm,钱真的是万恶之源吗？,就叫阿路8,3462046,734399,63914,12707,287139,32644
344,8,BV1KoWBzwE7T,最薄的iPhone...代价呢？国行iPhone Air上手体验,影视飓风,5553044,116082,8523,8566,16405,9966
